page,text_arabic_ocr
11,"وكذلك ما لم يتم استنفاذ خصمه او رده من الضريبة العامة على | ؟-حيازة أصول الفواتير الضريبية أو شهادة الإجراءات
المبيعات المسددة على الآلات والمعدات وأجزائها وقطع الغبار | الجمركية وإيصال سداد الضريبة العامة على المبيعات
والضريبة السابق سدادها على المردودات من المبيعات. بالجمرك.
كما يحق له تسوية ضريبة الجدول المستحقة على سيارات ""أن يكون قد سبق الاقرار عن المدخلات في الاشرارات
الركوب التي في حوزته في تاريخ العمل بهذا القانون من ضبريبة 0 ا ا
المبيعات السابق سدادها عن ذات السيارات وذلك طيقا ّ ‎١‏
‏الغيار يجب أن تعبر الدفاتر والسجلات عن الضريبة
للشروط والضوابط التي تحددها اللائحة التنفيذية. 1
المسددة عند الشراء والرصيد المتبقي بعد استبعاد ما تم
وترد الضريبة العامة على المبيعات السابق سدادها على السلع | خصمه بالإقرارات الشهرية.
والخدمات المصدرة للخارج اومدخلاتها وكذا الضريبة المسددة | 6-ألا يكون قد تم إدراج قيمة الضريبة العامة على المبيعات
بالخطأ وفقآ للإجراءات والقواعد الواردة في القانون المرافق. | ضمن التكلفة. وبالنسبة للضريبة السابق سدادها على
المردودات من المبيعات فلا يتم خصم إلا ما سبق سداده
منها على السلع المرتدة. وتتم تسوية ضريبة الجدول وفقا
لما يصدر عن المصلحة من تعليمات في الحالات الآتية:
(أ) إخضاع سلعة أو خدمة لضريبة الجدول.
(ب) زيادة الفئة المفروضة على سلع وخدمات
الجدول.
وفى جميع الاحوال لا يسرى حكم البند (؟) من المادة (١؟)‏
من قانون الضريبة على القيمة المضافة على الرصيد الدائن
المشار إليه في هذه المادة.
(المادة السابعة) (المادة السادسة)
مع عدم الإخلال بأحكام هذا القانون والقانون المرافق على من في تطبيق أحكام المادة (السابعة) من القانون رقم 117
يستمر تسجيله وفقا لأحكام هذا القانون أومن يتم تسجيله وؤق) | لسنة ‎٠١١1‏ المشار إليهء يقصد بتوفيق الاوضاع اتخاذ
للقانون المرافق توفيق أوضاعه خلال ثلاثة أشهر من تاريخ الإجراءات الواجبة لمعالجة أي اختلاف عن أحكام قانون
المحاسب القانوني 4 ا060726 عاط"
12,"العمل به ويعفى المسجلون من أداء الضريبة الإضافية خلال | الضرييبة على القيمة المضافة. في الأوضاع القانونية أو
هذه الفترة عن فروق الضريبة وضريبة الجدول المستحقة قانونا | المحاسبية أو النظامية القائمة للمنشأت بما قد يتطلبه ذلك
إذا كان حسابها يتوقف على توفيق أوضاعهم وتضع اللائحة | من تعديل في نظم القيد اليدوية أو الالكترونية وعلى الاخص
التنفيذية القرارات والقواعد الخاصة بتوفيق الاوضاع. في الأحوال الآتية:
١-التغيير‏ في سعر الضريبة أو ضريبة الجدول.
؟-الخضوع للضريبة أو لضريبة الجدول لأول مره.
-إجراء الخصم الضربي على المدخلات غير المباشرة.
:-الخضوع لضريبة الجدول بالإضافة للضريبة.
وعلى المسجل عند الفحص تقديم ما يفيد قيامه بتوفيق
الاوضاع واثبات أن فروق الضريبة وضريبة الجدول
المستحقة قانوناً كانت بسبب توفيق الاوضاع.
وعلى المأمورية المختصة إذا تبين لها أحقية المسجل في
الاعفاء من الضريبة الإضافية وفقا لنص المادة (السابعة)
المشار إليها أن تصدر قرارا بذلك على النموذج الذي يصدره
رئيس المصلحة.
(المادة السابعة)
مع مراعاة أحكام القانون رقم 71 لسنة ‎٠١١7‏ المشار إليه»
يجب الالتزام بما بأني:
١-تسري‏ الإحكام الموضوعية لقانون الضريبة العامة على
المبيعات على الوقائع المتعلقة ببيع السلعة أو أداء
الخدمة التي بدأت وانتهت قبل تاريخ العمل بالقانون رقم
/71 لسنة ‎.5١١7‏
‏""-تسري الاحكام الموضوعية لقانون الضريبة على القيمة
المضافة على الوقائع المتعلقة ببيع السلعة أو أداء الخدمة
المحاسب القانوني 770 أاضخطه ا"
13,"التي بدأت قبل تاريخ العمل بالقانون واستمرت وانتهت
بعد تاريخ العمل به.
؟-تسري الأحكام الإجرائية المقررة بقانون الضريبة على
القيمة المضافة على الإجراءات الواجب اتخاذها بعد
تاريخ العمل به.
(المادة الثامنة)
لا تخل أحكام هذا القانون والقانون المرافق بالإعفاءات المقررة
بمقتضى الاتفاقيات المبرمة بين الحكومة المصرية والدول
الأجنبية والمنظمات الدولية أو الإقليمية أو الاتفاقيات البترولية
والتعدينية.
(المادة التاسعة)
يصدر وزير المالية اللائحة التنفيذية لهذا القانون والقانون
المرافق خلال ثلاثين يوما من تاريخ نشره وإلى أن تصدر هذه
اللائحة يستمر العمل باللوائح والقرارات المعمول بها حاليا فيما
لا يتعارض مع أحكام هذين القانونين.
(المادة العاشرة) (المادة الثامنة)
ينشر هذا القانون في الجريدة الرسمية وبعمل به من اليوم التالي | ينشر هذا القرار في الوقائع المصرية ويعمل به من اليوم التالي
لتاريخ نشره. لتاريخ نشره
يبصم هذا القانون بخاتم الدولة وينفذ كقانون من قوانينها.
صدر برئاسة الجمهورية في ‎٠""‏ ذي الحجة سنة ‎١51/‏ ه صدر / مارس سنة ‎7١1١0‏
‏(الموافق ه سيتمبر سنة ‎)١٠١١13‏
‏رئيس الجمهورية وزير المالية
عبد الفتاح السيسي عمرو الجارحي
المحاسب القانوني 70 722720017 انا"
14,"فهرس القانون
التعاردرف
من المواد ‎١‏ الى ‎١‏
‎٠0‏
‏دكان الضرائب تجميع واعداد: مصطفى سلامة عبد السميع لم .انه لاعصق ااهل مه مكصا :اأقصع
‎١‏ المحاسب القانوني 4 اأاأطهالا"
15,"قانون الضريبة على القيمة المضافة اللائحة التنفيذية لقانون الضريبة على القيمة المضافة
الباب الاول الباب الاول
(مادة ‎)١‏ (مادة ‎)١‏
‏يقصد في تطبيق احكام هذا القانون بالألفاظ والعبارات | يكون للتعاريف الواردة بقانون الضرببة على القيمة
التالية المعني المبين قرين كل منها: المضافة المعني ذاته في تطبيق أحكام هذه اللائحةء كما
« الوزير: وزير المالية. يقصد في تطبيق أحكامها بالألفاظ والعبارات التالية
« رئيس المصلحة: رئيس مصلحة الضرائب المصرية. المعني المبين قرين كل منها:
« المصلحة: مصلحة الضرائب المصرية. القانون: قانون الضريبة على القيمة المضافة.
‎٠‏ المكلف: الشخص الطبيعي او الشخص الاعتباري خاصا كان | اللائحة: اللائحة التنفيذية لقانون الضريبة على القيمة
اوعاما المكلف بتحصيل وتوريد الضريبة للمصلحة سواء كان | المضافة.
منتجاء او تاجراء او مؤديا لسلعة» أو لخدمة خاضعة للضرببة ‎١‏ الجدول: الجدول المرافق لقانون الضييبة على القيمة
بلغت مبيعاته حد التسجيل المنصوص عليه في هذا القانون | المضافة.
وكل مستورد»ء او مصدرء او وكيل توزيع لسلعة» او لخدمة ‎١‏ الشخص: الشخص الطبيي او الاعتباري.
خاضعة للضريبة مهماكان حجم معاملاته وكذلك كل منتجء | المأمورية المختصة: المأمورية التي يقع في دائرتها مركز
أو مؤدىء أو مستورد لسلعة» او لخدمة منصوص عليها في | مزاولة نشاط المكلف أو التي صدرت منها شهادة التسجيل
الجدول المرافق لهذا القانون مهماكان حجم معاملاته. وإذا تعددت منشأت المكلف وفروعها تكون المأمورية
« المسجل: المكلف الذي تم تسجيله لدي المصلحة وفقآ | المختصة هي المأمورية التي يقع في دائرتها المركز الرئيسي_
لأحكام هذا القانون. للنشاط من واقع السجل التجاري ويجوز لرئيس المصلحة
‎٠‏ الشخص المرتبط: كل شخص يرتبط بشخص اخر بعلاقة | بقرار منه تعيين مأمورية مختصة لأنشطة أو مكلفين معينين.
تؤثر في تحديد وعاء الضريبة بما في ذلك:
١-الزوج‏ والزوجة والاصول والفروع
؟-شركة الاموال والشخص الذي يملك فيها بشكل مباشر او
غير مباشر ‎٠(‏ 900) على الاقل من عدد او قيمة الاسهم او من
حقوق التصويت.
المحاسب القانوني 700 7220202 اا"
16,"”-شركة الاشخاص والشكاء والمتضامنون الموصون فيها.
؟-اي شركتين او أكثر يملك شخص اخر (9600) على الاقل
من عدد او قيمة الاسهم او حقوق التصوبت في كل منها.
5-رب العمل والعمال التابعون له الذين تربطهم به علاقة
عمل.
« مورد الخدمة: كل شخص طبيي او اعتباري يقوم بتوريد او
اداء خدمة خاضعة للضردبة.
« المستورد: كل شخص طبيي او اعتباري يقوم باستيراد سلع
اوخدمات خاضعة للضردبة أياكان الغرض من الاستيراد.
« المقيم: الشخص الطبيي او الاعتباري الذي يعد مقيما في
مصر وفقا لأحكام قانون الضريبة على الدخل.
« المنشأة الدائمة: المقرالذي يتم من خلاله ممارسة النشاط
- محل الإدارة.
- الفرع» المكتب» المصنع أو ورشة العمل.
- المنجمء حقل البترول» بثر الغازء المحجرء أو أي مكان أخر
لاستخراج الموارد الطبيعية.
- موقع البناء أو مشروع الانشاء أو التركيب.
ويكون الشخص الذي له منشأة دائمة في مصر. من المخاطبين
بأحكام هذا القانون.
« الضردبة: الضريبة على القيمة المضافة.
« الضريبة الاضافية: ضريبة بواقع (901,4) من قيمة الضريبة
او ضريبة الجدول غير المدفوعة بما فيها الضريبة الناتجة عن
تعديل الإقرار وذلك عن كل شهر أو جزء منه اعتبارا من نهاية
الفترة المحددة للسداد حتى تاريخ السداد.
المحاسب القانوني 2774 أاخطه ما"
17,"ه الضريبة على المدخلات: الضريبة التي تحملها المكلف عند | المدخلات غير المباشرة: تكاليف الانتاج والتشغيل غير
شراء او استيراد السلع (بما فيها الآلات والمعدات) والخدمات | المباشرة وتكاليف البيع والتوزيع والمصروفات الإدارية
سواء كانت مباشرة أو غير مباشرة المتعلقة ببيع سلعة أو اداء | والعمومية
خدمة خاضعة للضريبة.

« ضريبة الجدول: ضريبة تفرض بنسب خاصة و بقيم
محددة على بيع او استيراد السلع والخدمات المحلية او
المستوردة المنصوص عليها في الجدول المرافق لهذا القانون
وذلك بخلاف الضريبة المنصوص عليها في الفقرة الاولٍ من
المادة (؟) من هذا القانون ما لم ينص الجدول على خلاف | ‎٠‏
‏ذلك.

السلعة: كل شيء مادي أيا كانت طبيعته أو مصدره أو
الغرض منه بما في ذلك الطاقة الكهربائية» سواء كان محليا
أو مستورداء ويسترشد في تحديد مسمى السلعة بما يرد
بشأنها بملاحظات ونصوص البنود المبينة بالأقسام
والفصول الواردة بجداول التعريفة الجمركية المعمول بها.

« الخدمة: كل ما ليس سلعة» سواء كان محليا أو مستوردا. | الخدمة المستوردة: الخدمة المقدمة من شخص في الخارج

إلى متلقيها في مصر سواء تم تقديمها من شخص غير مقيم
بمصر وليس لديه منشأة دائمة بها أو مقيم في مصرء ولكنه
يقدمها من خارجها.

الخدمة المصدرة: الخدمة المقدمة من شخص داخل البلاد
إلى متلقيها في الخارج سواء تم تقديمها من شخص مقيم في
مصر أو لديه منشاة دائمة بها أو غير مقيم في مصرء ولكنه
يقدمها من داخلها.

« السلع والخدمات المعفاة: السلع والخدمات التي تتضمنها
قائمة الاعفاءات المرافقة لهذا القانون.

المحاسب القانوني 2774 أاخطه ما"
18,"« البيع: انتقال ملكية السلعة أو أداء الخدمة من البائع ولوكان
مستوردا إلى المشترى ويعد بيعا في حكم هذا القانون ما بلي

- اصدار الفاتورة.

- تسليم السلعة او تأدية الخدمة.

- اداء ثمن السلعة او مقابل الخدمة سواء كان كله» او

بعضه:ء او بالآجلء او غير ذلك من اشكال اداء الثمن وفقآ
لشروط الدفع المختلفة.

« الفاتورة الضريبية: الفاتورة التي تعد وفقا للنموذج الذي
يصدر به قرار من الوزير أو من يفوضه.

« الشهر: الشهر الميلادي

« الفترة الضرببية: فترة شهر تنتهي في أخر يوم من الشهر
الميلادي الذي يقدم عنه المسجل اقراره الضريي الشهري.

« السنة المالية: اثنا عشر شهرا تبدأ مع بداية السنة المالية
للمكلف وتنتهي بانتهائها.

« الاستهلاك الشخص: استعمال السلعة أو الاستفادة من
الخدمة في اغراض غير متعلقة بالنشاط.

« الاستخدام الخاص: استعمال السلعة أو الاستفادة من
الخدمة في أغراض متعلقة بالنشاط ولا يعد انتقال السلعة
من مرحله انتاج لأخرى داخل المنشأة وخارجها استخدام
خاص.

« المسجل غير المقيم: الشخص الطبيي او الاعتباري الذي
لا يعتبر مقيماً في مصر ويعد ملزماً بالتسجيل بضريبة القيمة
المضافة واحتسابها عند إتمام عمليات بيع السلع وعند

المحاسب القانوني 2774 أاخطه ما"
19,"تقديم الخدمات المستوردة للعملاء غير المسجلين في
مصر *

ه نظام تسجيل الموردين المبسط: نظام يسمح بتسجيل | منصة التوزيع الإلكتروني: واجهة رقمية مرئية مثل موقع
الموردين من غير المقيمين على نحو مبسط تحدده اللائحة | وبب» او بوابة انترنت» او متجر الكترونيء» او سوق عبر
التنفيذية * الانترنت او غيرهاء تسمح باتصال كل من مورد السلعة او

‎٠‏ نظام التكليف العكسي: نظام يلتزم بمقتضاه المنتفع مقدم الخدمة والمنتفع بالسلعة او متلقي الخدمة للقيام
بالسلعة او الخدمة بأداء الضريبة مباشرة الي المصلحة بدلا | بتوريد السلعة اوأداء الخدمة من خلالها. *
من الالتزام الواقع على مورد السلعة او مقدم الخدمة غير
المقيم» وذلك في الأحوال المقررة في هذا القانون. *

‏*معدلة بقانون بالقانون رقم "" بتاربخ 77-يناير- ‎٠١77‏ *مضافة بالقرار الوزاري رقم -751- بتاريخ 7١-يناير-377١٠”‏

‏المحاسب القانوني 0004 0 0 اما"
20,"فهرس القانون
الياب الثابى
الضم سه القشمة المضافة
(الفصل الأول)
المواد من ” الى 6"
21,"الضردبة على القيمة المضافة الضردبة على القيمة المضافة
(الفصل الأول) الفصل الاول
فرض الضريبة واستحقاقها فرض الضرببة واستحقاقها
(مادة ؟) (مادة ‎)١‏

تفرض الضريبة على السلع والخدمات بما في ذلك السلع | في تطبيق أحكام القانونء لا يعد من قبيل البيع الخاضع

والخدمات المنصوص عليها في الجدول المرافق لهذا القانون | للضرببة: -

سواء كانت محلية او مستوردة في كافة مراحل تداولهاء الا ما | ١-انتقال‏ ملكية السلعة بعد الموت بالميراث أو الوصية.

استثني بنص خاص. ؟-ما ينتجه الشخص بنفسه ولنفسه. دون أن يكون

ويخصص مبلغ أربعون قرشأ من حصيلة .0 الغرض منه إنتاج مسلعة أو خدمة آخري لبيعها الغير أو أن

1 0 1 3 يستخدم هذا الإنتاج لبيعه أو للتداول من مرحلة إلى

على المسلسل (اولا:١/ب/١)‏ من الجدول رقم ‎)١(‏ المرافق آخرى.

لهذا القانون لصالح الهيئة العامة للتامين الصحي وبحدد وزير 1

المالية بقرار منة وبالاتفاق مع وزير الصحة قواعد أداء هذا

الميلغ للهيئة العامة للتامين الصحي *.

* مضافة بالقانون رقم ” لسنة ‎٠١١1‏ بتاريخ 6١-يناير-/11 ‎7٠١‏

(مادة ؟)
في تطبيق أحكام القانون» لا يعتبر من قبيل الخدمات
الخاضعة للضردبة:
١-الاعمال‏ التي يؤديها العامل لرب العمل نظير أجر وفقا
لعقد العمل او التوظف.
؟-الاعمال التي يقدمها الشركاء المتضامنون في شركات
الاشخاص بناءاً على عقد الشركة
-الاعمال التي تقوم مكاتب التمثيلء أو الاتصالء أو المكاتب
الفنية» أو العلمية المنشأة وفقاً لقانون شركات المساهمة
وشركات التوصية بالأسهم والشيكات ذات المسئولية
المحاسب القانوني 74 اأاخطه ما"
22,"المحدودة المشار إليه لصالح الشركات التي تتبعها في الخارج
في حدود المبالغ الي تحصل عليها المكاتب لتغطية تكاليف
أعمالها.
:-الخدمات العامة التي تؤديها الجهات الحكومية.
د-عمليات الاقراض التي تتم بين الشيكات القابضة أو الام
والشركات التابعة لها أو فيما بين بعضها البعض.
1-عمليات تداول الاسهم وغيرها من الاوراق المالية.
(مادة *) (مادة غ)

يكون السعر العام للضريبة على السلع والخدمات (0418) عن | في تطبيق أحكام الفقرة الأولي من المادة (1) من القانون

العام الماليى ‎7١11/5017‏ و(9614) من العام المالي | لبداعى ما بأقي:

‎48١‏ إعلى أن يخصص نسبة (1 96) من الضرية | ١-يكون‏ السعر العام للضريبة (17) اعتبار من تاريخ

‏للإنفاق على برامج العدالة الاجتماعية] واستثناء مما تقده يكون | العمل بالقانون حتى ‎١11//1/7 ١‏ 25 و(90154) اعتبارا من

‏سعر الضريبة على الآلات والمعدات المستخدمة في انتاج سلعة | ‎.5١11//1//1‏

‏اوتأدية خدمة 905 وذلك عدا الاتوبيسات وسيارات إركوب | """"-إستثناءا من حكم البند ‎)١(‏ من هذه المادة يكون سعر
الضريبة (965) على الآلات والمعدات المستوردة من الخارج
أو المشتراة من السوق المحلي إذا كانت تلك الآلات أو
المعدات يقتصر استخدامها على الانتاج السلي أو الخدي
وفق قرار يصدر بذلك من الوزيرء وذلك ما عدا الاتوبيسات
وسيارات الركوب فتخضع للسعر العام للضريبة أو فئات
ضريبة الجدول أو كلتيهما حسب الاحوالء ودون الإخلال
بأحقية المسجل في رد الضريبة عليها وفقاً لنص البند (4) من
المادة (0"") من القانون.
وتشمل الآلات والمعدات خطوط الإنتاج الكاملة بكافة
مشتملاتها وان وردت مجرأة وفى حالة ما إذا كان استخدامها
لا يقتصر على الإنتاج السلعي أو الخدي فتخضع للسعر العام

‏المحاسب القانوني 77004 أاضخطه ما"
23,"للضريبة أو فئات ضريبة الجدول أو كلتيهما حسب الأحوال
مع إجراء التسوبات اللازمة أو الرد حال استخدامها في إنتاج
سلعة أو أداء خدمة.
كما تخضع للسعر العام للضريبة أجزاء الآلات والمعدات
وقطع الغيار.
(مادة ه)
وكون سعر الضريبة (صفر) على السلع والخدمات التي يتم ف تطبيق حكم الفقرة الثانية من المادة (؟) من القانونء
تصديرها طبقا للشروط والاوضاع التي تحددها اللائحة | يكون سعر الضريبة (صفر) على السلع والخدمات المصدرة
التنفيذية. من داخل البلاد إلى خارجهاء وفقاً للأوضاع والشروط الآتية:
أولا- بالنسبة للسلع المصدرة:
أن يتبع المصدر عند قيامه بتصدير سالعة الإجراءات
الجمركية المقررة» وأن يحتفظ لمدة خمس سنوات
بالمستندات المتعلقة بالعملية» والمستندات الدالة على
تمام التصدير» بما ف ذلك شهادة الصادر من الجمرك
المختص أو أية شهادة رسمية من الجمارك تقوم مقامها.
ثانيا- بالنسبة للخدمات المصدرة:
أن يتم إثبات التعامل بين مقدم الخدمة في مصر. ومتلقيها في
الخارج بموجب عقد اداء الخدمة أو بأية وسيلة اخرى تتفق
مع طبيعة الخدمة مع تقديم المستندات الآتية:
١-صورة‏ كريونية أو إلكترونية للفاتورة الضيدبية أو
المستخلص متضمنة بيانات تفصيلية عن الخدمة وعلى
الاخص نوعها وقيمتها وكذلك اسم ومحل إقامة كل من
مؤدى الخدمة ومتلقيها.
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع رع .طأوءلاعصقلكاه0 © هلصا :اأهصدع 23
المحاسب القائوني 4 مم أاذطه الا"
